"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>The Acorn Practice</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 6.09:1. Recommendation: change background to #595857.","error","<p>We use cookies to provide you w...</p>","#cookie-message > div > p"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 6.09:1. Recommendation: change background to #595857.","error","<a href=\"/cookie-policy\" title=\"Cookie Policy\">cookies</a>","#cookie-message > div > p > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/cookie-policy\" title=\"Cookie Policy\">cookies</a>","#cookie-message > div > p > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<div class=\"open-panel\" onclick=\"sideOpen();\"><i class=\"icon-menu\"></i>Menu</div>","#container > div:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.G90","Ensure the functionality provided by an event handler for this element is available through the keyboard","warning","<div class=\"open-panel\" onclick=\"sideOpen();\"><i class=\"icon-menu\"></i>Menu</div>","#container > div:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"home-link\" href=\"https://www.acornpractice.co.uk/\" title=\"The Acorn Practice\" rel=\"home\">\n      <h1 class=\"website-title...</a>","#responsivebanner > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img class=\"site-logo\" src=\"https://www.acornpractice.co.uk/wp-content/themes/acornff/images/acorn-logo.png\" alt=\"Acorn Logo\">","#responsivebanner > a > h1 > strong > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"site-logo\" src=\"https://www.acornpractice.co.uk/wp-content/themes/acornff/images/acorn-logo.png\" alt=\"Acorn Logo\">","#responsivebanner > a > h1 > strong > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img class=\"nhs-logo-responsive\" src=\"https://www.acornpractice.co.uk/wp-content/themes/acornff/images/nhs-logo-responsive.jpg\" alt=\"NHS\">","#responsivebanner > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"nhs-logo-responsive\" src=\"https://www.acornpractice.co.uk/wp-content/themes/acornff/images/nhs-logo-responsive.jpg\" alt=\"NHS\">","#responsivebanner > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<div class=\"close-panel\" onclick=\"sideClose();\" style=\"display: block; opacity: 0.8002101126629422;\"><i class=\"icon-left-dir\"></i>Hi...</div>","#container > div:nth-child(3)"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.G90","Ensure the functionality provided by an event handler for this element is available through the keyboard","warning","<div class=\"close-panel\" onclick=\"sideClose();\" style=\"display: block; opacity: 0.8002101126629422;\"><i class=\"icon-left-dir\"></i>Hi...</div>","#container > div:nth-child(3)"
